"status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","city","state","address.zip","dfdsfds","dioProvince","orgIdNumber","parent classificationCodeName","parentId"
"Active",19000,,"Church",1,"Phys/Mail",,"Church",,"1015 Shirley St.",,"Winthrop","MASSACHUSETTS","02152-2535","USA",,18998,"Parish","Holy Rosary"
"Active",13229,"St. Elizabeth Hospital","Hospital",1,"Phys/Mail",true,,,"211 S. Third St.",,"Belleville","ILLINOIS","62220-1998","USA",,212742,"Placement Header","Belleville"
"Active",13231,"St. Joseph Hospital of the Hospital Sisters of the Third Order of St. Francis","Hospital",1,"Phys/Mail",true,,,"9515 Holy Cross Ln.",,"Breese","ILLINOIS","62230","USA",,212743,"Placement Header","Breese"
"Active",13234,"St. Mary's Hospital","Hospital",1,"Phys/Mail",true,,,"400 N. Pleasant Ave.",,"Centralia","ILLINOIS","62801","USA",,212744,"Placement Header","Centralia"
"Active",13238,"Good Samaritan Regional Health Center","Hospital",1,"Phys/Mail",true,,,"1 Good Samaritan Way",,"Mount Vernon","ILLINOIS","62864","USA",,212747,"Placement Header","Mount Vernon"
"Active",13241,"St. Joseph Memorial Hospital","Hospital",1,"Phys/Mail",true,,,"2 S. Hospital Dr.",,"Murphysboro","ILLINOIS","62966","USA",,212748,"Placement Header","Murphysboro"
"Active",14547,"St. Vincent's Medical Center","Hospital",1,"Phys/Mail",true,,,"2800 Main St.",,"Bridgeport","CONNECTICUT","06606","USA",,212828,"Placement Header","Bridgeport"
"Active",14554,"Saint Vincent's Special Needs Center, Inc.","Hospital",1,"Phys/Mail",,,,"95 Merritt Blvd.",,"Trumbull","CONNECTICUT","06611","USA",,14547,"Hospital","St. Vincent's Medical Center"
"Active",14555,"St. Vincent's Health Services Corporation","Hospital",1,"Phys/Mail",true,,,"2800 Main St.",,"Bridgeport","CONNECTICUT","06606","USA",,212828,"Placement Header","Bridgeport"
"Active",14561,"St. Vincent's Development Corporation","Hospital",1,"Phys/Mail",true,,,"2800 Main St.",,"Bridgeport","CONNECTICUT","06606","USA",,212828,"Placement Header","Bridgeport"
"Active",14574,"St. Camillus Health Center","Hospital",1,"Phys/Mail",true,,,"494 Elm St.",,"Stamford","CONNECTICUT","06902","USA",,212864,"Placement Header","Stamford"
"Active",15403,"St. Vincent's Birmingham","Hospital",1,"Phys/Mail",,,,,"P.O. Box 12407","Birmingham","ALABAMA","35202-2407","USA",,15405,"Hospital","St. Vincent's Health System"
"Active",15403,"St. Vincent's Birmingham","Hospital",2,"PH",,,,"810 St. Vincent's Dr.",,"Birmingham","ALABAMA","35205","USA",,15405,"Hospital","St. Vincent's Health System"
"Active",15405,"St. Vincent's Health System","Hospital",1,"Phys/Mail",true,,,"810 St. Vincent's Dr.",,"Birmingham","ALABAMA","35205","USA",,212915,"Placement Header","Birmingham"
"Active",16193,"St. Alexius Medical Center","Hospital",1,"Phys/Mail",true,,,,"P.O. Box 5510","Bismarck","NORTH DAKOTA","58506-5510","USA",,213006,"Placement Header","Bismarck"
"Active",16196,"St. Joseph's Hospital and Health Center","Hospital",1,"Phys/Mail",true,,,"2500 Fairway St.",,"Dickinson","NORTH DAKOTA","58601","USA",,213007,"Placement Header","Dickinson"
